FPA_ID,FIRE_YEAR,FIRE_NAME,DISCOVERY_DATE,DISCOVERY_DOY,CAUSE_CLASS,GENERAL_CAUSE,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,MONTH
FS-6983153,2019,LIME,2019-09-05,248,Natural,Natural,1872.0,F,41.86666667,-122.66861111,8
ICS209_2019_10742502,2019,EASY,2019-10-30,303,Missing data/not specified/undetermined,Missing data/not specified/undetermined,1806.0,F,34.2816667,-118.8030556,8
ICS209_2019_10675988,2019,MCMILLAN,2019-06-12,163,Missing data/not specified/undetermined,Missing data/not specified/undetermined,1764.0,F,35.66194439,-120.40444440000002,8
ICS209_2019_10733199,2019,BORDER 8,2019-08-14,226,Missing data/not specified/undetermined,Missing data/not specified/undetermined,1507.0,F,32.5727778,-116.69972220000001,8
FS-6963478,2019,MIDDLE,2019-09-05,248,Natural,Natural,1339.0,F,40.88694444,-123.01388889,6
W-728993,2019,BOULDER,2019-06-05,156,Natural,Natural,1100.0,F,35.33605,-119.91843,6
W-732384,2019,MCDONALD,2019-08-08,220,Natural,Natural,1020.0,F,40.9569,-120.305,3
ICS209_2019_10750886,2019,SANDALWOOD,2019-10-10,283,Missing data/not specified/undetermined,Missing data/not specified/undetermined,1011.0,F,33.99245999,-117.05921000000001,4
SFO-2019CACDFSLU000899,2019,,2019-07-08,189,Human,Equipment and vehicle use,1010.0,F,35.632903999999996,-120.276504,7
W-732706,2019,GAINES,2019-08-16,228,Human,Arson/incendiarism,979.0,E,37.5333,-120.1841,7
ICS209_2019_10762771,2019,BELMONT,2019-05-29,149,Missing data/not specified/undetermined,Missing data/not specified/undetermined,835.0,E,35.3075,-119.964444,6
ICS209_2019_10687789,2019,MARSH,2019-08-03,215,Missing data/not specified/undetermined,Missing data/not specified/undetermined,757.0,E,37.88961,-121.809572,6
SFO-2019CACDFTUU000068,2019,BOGART DR  SPRINGVILLE,2019-08-31,243,Human,Equipment and vehicle use,756.0,E,36.114729,-118.825732,7
FS-6981709,2019,ROSASCO,2019-05-23,143,Missing data/not specified/undetermined,Missing data/not specified/undetermined,731.0,E,38.01083333,-120.00694444,7
